ID,Title,Author,Price & Format,,,,Overall Raiting,# of Reviews,Published Date,ISBN,Publisher,Genres,Language,Book Page,Rank
,,,Hard Copy,Paper Copy,eBook,Audio CD,,,,,,,,,
51,Spy School (Series #1),Stuart Gibbs,$18.99,$8.99,$8.99,$29.99,4.5,118,2013-04-02,9781442421837,Simon & Schuster Books For Young Readers,Children,English,290,51
52,The Rediscovery of America: Native Peoples and the Unmaking of U.S. History,Ned Blackhawk,$35.00,,$35.00,,0,0,2023-04-25,9780300271249,Yale University Press,Historical,English,576,52
53,Fazbear Frights Four Book Box Set (Five Nights at Freddy's),"Scott Cawthon, Elley Cooper, Carly Anne West, Andrea Waggener, Kelly Parra",,$39.96,,,0,0,2020-09-01,9781338715804,"Scholastic, Inc.",Horror,English,1984,53
54,Elmore the Christmas Moose,"Dev Petty, Mike Boldt",$18.99,,,,5,8,2023-10-24,9780593707456,Random House,Children,English,,54
55,The Great Disappearance: 31 Ways to be Rapture Ready,David Jeremiah,$29.99,,$14.99,,5,3,2023-10-03,9780785252245,"Nelson, Thomas, Inc.",Religion,English,320,55
56,How the Grinch Stole Christmas!,Dr. Seuss,$16.99,,$10.99,,4.5,54,1957-10-12,9780394800790,Random House Children's Books,Children,English,64,56
57,Poor Charlie's Almanack: The Essential Wit and Wisdom of Charles T. Munger,Charles T. Munger,$30.00,,,,0,0,2023-12-05,9781953953230,"Stripe Matter, Inc.",Business,English,384,57
58,The Ashes and the Star-Cursed King,Carissa Broadbent,$29.99,,,,4.8,11,2024-06-04,9781250354907,Tor Publishing Group,Romance,English,608,58
59,Mom's Story: A Memory and Keepsake Journal for My Family,Korie Herold,$24.95,,,,0,0,2022-09-13,9781950968879,Blue Star Press,,English,112,59
60,Just Because,Matthew McConaughey,$19.99,,$10.99,,4.5,2,2023-11-24,9780593622049,Penguin Young Readers Group,Children,English,32,60
61,Hunting Adeline,H. D. Carlton,$25.38,$19.86,,,4.5,24,2022-01-26,9798765521021,Barnes & Noble Press,Romance,English,530,61
62,Resurrection Walk (Lincoln Lawyer Series #7),Michael Connelly,$30.00,$19.99,$14.99,,5,3,2023-11-07,9781538767153,Grand Central Publishing,Thriller,English,400,62
63,A Court of Thorns and Roses Paperback Box Set (5 books),Sarah J. Maas,$93.00,,,,4.6,5,2022-11-01,9781639730193,Bloomsbury USA,Fantasy,English,,63
64,How to Draw Super Cute Things with Bobbie Goods: Learn to draw & color absolutely adorable art!,Bobbie Goods,$19.99,$19.99,,,0,0,2023-11-21,9780760385036,Walter Foster Publishing,Art,English,112,64
65,Snow Daze (B&N Exclusive Edition) (Pete the Cat),"James Dean, James Dean, Kimberly Dean",$17.99,$8.99,$4.99,,4.5,2,2022-11-01,9780062404268,HarperCollins Publishers,Children,English,113,65
66,The Cruel Prince: Collector's Edition,Holly Black,$35.00,,,,5,10,2023-10-24,9780316461252,"Little, Brown Books for Young Readers",Fantasy,English,400,66
67,The Frozen River: A Novel,Ariel Lawhon,$28.00,$13.99,,,4,10,2023-12-05,9780385546881,Knopf Doubleday Publishing Group,Fiction,English,448,67
68,Percy Jackson and the Olympians 5 Book Paperback Boxed Set,"Rick Riordan, Victo Ngai",,$44.95,,,4.7,25,2023-09-05,9781368098045,Disney Publishing Group,Fiction,English,1920,68
69,LL COOL J Presents The Streets Win: 50 Years of Hip-Hop Greatness,LL Cool J,$55.00,,,,0,0,2023-11-24,9780847874057,Rizzoli,Music,English,336,69
70,"Inheritance: The Lost Bride Trilogy, Book 1",Nora Roberts,$30.00,$19.99,$14.99,$39.99,4.6,82,2023-11-21,9781250902450,Macmillan Audio,Romance,English,432,70
71,Taylor Swift: And the Clothes She Wears,Terry Newman,$30.00,,,,5,1,2023-10-19,9781788842280,Acc Publishing Group Ltd,Music,English,160,71
72,The Little Liar,Mitch Albom,$26.99,,$14.99,$36.99,5,1,2023-11-14,9798212700139,HarperCollins Publishers,Fiction,English,352,72
73,"One Piece (Omnibus Edition), Vol. 2: East Blue Vols. 4-5-6",Eiichiro Oda,,$16.99,,,5,3,2010-01-05,9781421536262,VIZ Media LLC,Manga,English,576,73
74,Emily Wilde's Encyclopaedia of Faeries (Series #1),Heather Fawcett,$22.99,$18.00,$12.99,,4.5,62,2023-10-24,9780593724729,Random House Worlds,Fantasy,English,352,74
